year,month,day,avg_temp
2012,6,8,21.5
2012,6,9,22.0
2012,6,10,19.5
2012,6,11,18.5
2012,6,12,18.0
2012,6,13,15.0
2012,6,14,17.0
2012,6,15,19.5
2012,6,16,22.5
2012,6,17,26.0
2012,6,18,25.0
2012,6,19,25.5
2012,6,20,25.0
2012,6,21,26.5
2012,6,22,22.5
2012,6,23,22.5
2012,6,24,23.0
2012,6,25,18.0
2012,6,26,17.0
2012,6,27,18.5
2012,6,28,21.5
2012,6,29,24.5
2012,6,30,27.0
2012,7,1,26.5
2012,7,2,26.5
2012,7,3,25.5
2012,7,4,26.0
2012,7,5,26.5
2012,7,6,28.0
2012,7,7,27.5
2012,7,8,26.0
2012,7,9,25.0
2012,7,10,24.0
2012,7,11,24.0
2012,7,12,19.5
2012,7,13,19.5
2012,7,14,21.5
2012,7,15,18.5
2012,7,16,17.0
2012,7,17,17.5
2012,7,18,19.5
2012,7,19,23.0
2012,7,20,19.5
2012,7,21,18.5
2012,7,22,19.5
2012,7,23,21.5
2012,7,24,23.5
2012,7,25,23.0
2012,7,26,24.5
2012,7,27,25.5
2012,7,28,26.5
2012,7,29,25.5
2012,7,30,23.5
2012,7,31,23.0
2012,8,1,25.0
2012,8,2,25.0
2012,8,3,26.0
2012,8,4,26.5
2012,8,5,27.5
2012,8,6,26.5
2012,8,7,22.0
2012,8,8,21.5
2012,8,9,21.0
2012,8,10,19.0
2012,8,11,17.0
2012,8,12,17.0
2012,8,13,18.5
2012,8,14,18.5
2012,8,15,19.0
2012,8,16,22.5
2012,8,17,22.5
2012,8,18,23.5
2012,8,19,26.0
2012,8,20,27.0
2012,8,21,26.5
2012,8,22,28.0
2012,8,23,27.5
2012,8,24,27.5
2012,8,25,27.0
2012,8,26,21.0
2012,8,27,17.0
2012,8,28,20.5
2012,8,29,22.5
2012,8,30,23.5
2012,8,31,23.5
2012,9,1,23.0
2012,9,2,24.0
2012,9,3,25.5
2012,9,4,24.5
2012,9,5,24.5
2012,9,6,19.5
2012,9,7,19.0
2012,9,8,21.5
2012,9,9,22.5
2012,9,10,22.0
2012,9,11,22.5
2012,9,12,20.5
2012,9,13,17.5
2012,9,14,18.0
2012,9,15,17.5
2012,9,16,17.0
2012,9,17,19.0
2012,9,18,20.5
2012,9,19,18.0
2012,9,20,12.5
2012,9,21,14.5
2012,9,22,16.0
2012,9,23,17.5
2012,9,24,19.5
2012,9,25,19.5
2012,9,26,21.5
2012,9,27,22.0
2012,9,28,18.0
2012,9,29,21.0
2012,9,30,19.5
2012,10,1,20.5
2012,10,2,18.0
2012,10,3,17.0
2012,10,4,17.5
2012,10,5,15.5
2012,10,6,18.5
2012,10,7,15.0
2012,10,8,10.5
2012,10,9,11.5
2012,10,10,11.5
2012,10,11,12.0
2012,10,12,12.5
2012,10,13,13.5
2012,10,14,13.0
2012,10,15,16.0
2012,10,16,11.5
2012,10,17,13.0
2012,10,18,13.0
2012,10,19,14.5
2012,10,20,16.0
2012,10,21,16.5
2012,10,22,17.5
2012,10,23,14.5
2012,10,24,13.0
